범죄대분류,범죄중분류,서울 강남구,부산 중구,대구 중구
강력범죄,살인기수,3,1,1
강력범죄,살인미수등,13,0,1
강력범죄,강도,17,1,1
강력범죄,강간,161,14,29
강력범죄,유사강간,42,1,3
강력범죄,강제추행,428,30,150
강력범죄,기타 강간/강제추행등,4,0,1
강력범죄,방화,9,3,3
절도범죄,절도범죄,2094,574,1188
폭력범죄,상해,246,69,89
폭력범죄,폭행,1900,391,553
폭력범죄,체포/감금,27,1,3
폭력범죄,협박,348,47,88
폭력범죄,약취/유인,8,0,1
폭력범죄,폭력행위등,76,23,35
폭력범죄,공갈,119,5,26
폭력범죄,손괴,611,109,199
지능범죄,직무유기,13,2,3
지능범죄,직권남용,23,7,2
지능범죄,증수뢰,12,0,3
지능범죄,통화,14,3,1
지능범죄,문서/인장,250,36,56
지능범죄,유가증권인지,6,1,0
지능범죄,사기,10554,816,1160
지능범죄,횡령,1627,213,331
지능범죄,배임,207,7,13
풍속범죄,성풍속범죄,391,29,103
풍속범죄,도박범죄,126,7,13
특별경제범죄,특별경제범죄,2982,226,379
마약범죄,마약범죄,817,15,57
보건범죄,보건범죄,411,44,105
환경범죄,환경범죄,1,0,0
교통범죄,교통범죄,2991,307,813
노동범죄,노동범죄,10,4,1
안보범죄,안보범죄,6,0,1
선거범죄,선거범죄,14,3,2
병역범죄,병역범죄,193,7,26
기타범죄,기타범죄,4951,521,918
